Y;Fieldvalue
-1.2024E+01;7.2251E+00
-1.2023E+01;7.2265E+00
-1.2022E+01;7.2278E+00
-1.2021E+01;7.2292E+00
-1.2020E+01;7.2306E+00
-1.2019E+01;7.2320E+00
-1.2018E+01;7.2333E+00
-1.2017E+01;7.2347E+00
-1.2016E+01;7.2361E+00
-1.2015E+01;7.2375E+00
-1.2014E+01;7.2388E+00
-1.2013E+01;7.2402E+00
-1.2012E+01;7.2416E+00
-1.2011E+01;7.2430E+00
-1.2010E+01;7.2443E+00
-1.2009E+01;7.2457E+00
-1.2008E+01;7.2471E+00
-1.2007E+01;7.2485E+00
-1.2006E+01;7.2498E+00
-1.2005E+01;7.2512E+00
-1.2004E+01;7.2526E+00
-1.2003E+01;7.2540E+00
-1.2002E+01;7.2553E+00
-1.2001E+01;7.2567E+00
-1.2000E+01;7.2581E+00
-1.1999E+01;7.2595E+00
-1.1998E+01;7.2608E+00
-1.1997E+01;7.2622E+00
-1.1996E+01;7.2636E+00
-1.1995E+01;7.2650E+00
-1.1994E+01;7.2663E+00
-1.1993E+01;7.2677E+00
-1.1992E+01;7.2691E+00
-1.1991E+01;7.2705E+00
-1.1990E+01;7.2718E+00
-1.1989E+01;7.2732E+00
-1.1988E+01;7.2746E+00
-1.1987E+01;7.2759E+00
-1.1986E+01;7.2773E+00
-1.1985E+01;7.2787E+00
-1.1984E+01;7.2801E+00
-1.1983E+01;7.2814E+00
-1.1982E+01;7.2828E+00
-1.1981E+01;7.2842E+00
-1.1980E+01;7.2856E+00
-1.1979E+01;7.2869E+00
-1.1978E+01;7.2883E+00
-1.1977E+01;7.2897E+00
-1.1976E+01;7.2911E+00
-1.1975E+01;7.2924E+00
-1.1974E+01;7.2938E+00
-1.1973E+01;7.2952E+00
-1.1972E+01;7.2966E+00
-1.1971E+01;7.2979E+00
-1.1970E+01;7.2993E+00
-1.1969E+01;7.3007E+00
-1.1968E+01;7.3021E+00
-1.1967E+01;7.3034E+00
-1.1966E+01;7.3048E+00
-1.1965E+01;7.3062E+00
-1.1964E+01;7.3076E+00
-1.1963E+01;7.3089E+00
-1.1962E+01;7.3103E+00
-1.1961E+01;7.3117E+00
-1.1960E+01;7.3131E+00
-1.1959E+01;7.3144E+00
-1.1958E+01;7.3158E+00
-1.1957E+01;7.3172E+00
-1.1956E+01;7.3186E+00
-1.1955E+01;7.3199E+00
-1.1954E+01;7.3213E+00
-1.1953E+01;7.3227E+00
-1.1952E+01;7.3241E+00
-1.1951E+01;7.3254E+00
-1.1950E+01;7.3268E+00
-1.1949E+01;7.3282E+00
-1.1948E+01;7.3296E+00
-1.1947E+01;7.3309E+00
-1.1946E+01;7.3323E+00
-1.1945E+01;7.3337E+00
-1.1944E+01;7.3351E+00
-1.1943E+01;7.3364E+00
-1.1942E+01;7.3378E+00
-1.1941E+01;7.3392E+00
-1.1940E+01;7.3406E+00
-1.1939E+01;7.3419E+00
-1.1938E+01;7.3433E+00
-1.1937E+01;7.3447E+00
-1.1936E+01;7.3461E+00
-1.1935E+01;7.3474E+00
-1.1934E+01;7.3488E+00
-1.1933E+01;7.3502E+00
-1.1932E+01;7.3516E+00
-1.1931E+01;7.3529E+00
-1.1930E+01;7.3543E+00
-1.1929E+01;7.3557E+00
-1.1928E+01;7.3571E+00
-1.1927E+01;7.3584E+00
-1.1926E+01;7.3598E+00
-1.1925E+01;7.3612E+00
-1.1924E+01;7.3626E+00
-1.1923E+01;7.3639E+00
-1.1922E+01;7.3653E+00
-1.1921E+01;7.3667E+00
